year,sex,age,value
2027,both,98,11.7
2027,both,99,8.2
2027,both,100,14.2
2028,both,40,530.8
2028,both,41,533.3
2028,both,42,541.7
2028,both,43,543.8
2028,both,44,540.7
2028,both,45,538.4
2028,both,46,533.3
2028,both,47,535
2028,both,48,525.1
2028,both,49,510.8
2028,both,50,500.1
2028,both,51,495.4
2028,both,52,491.6
2028,both,53,487.4
2028,both,54,472.8
2028,both,55,469.8
2028,both,56,472.6
2028,both,57,488.9
2028,both,58,482.5
2028,both,59,476.3
2028,both,60,469.8
2028,both,61,471.6
2028,both,62,492.8
2028,both,63,521.8
2028,both,64,533.2
2028,both,65,533.5
2028,both,66,519.4
2028,both,67,521.2
2028,both,68,507.6
2028,both,69,491.7
2028,both,70,480.7
2028,both,71,463.9
2028,both,72,444.7
2028,both,73,432.8
2028,both,74,409
2028,both,75,383.4
2028,both,76,361.7
2028,both,77,346.8
2028,both,78,330.9
2028,both,79,315.3
2028,both,80,304.7
2028,both,81,292.4
2028,both,82,241.7
2028,both,83,214
2028,both,84,196.5
2028,both,85,177.4
2028,both,86,154
2028,both,87,136.3
2028,both,88,116.8
2028,both,89,101.3
2028,both,90,86
2028,both,91,71.4
2028,both,92,59.9
2028,both,93,48.2
2028,both,94,37.8
2028,both,95,30.1
2028,both,96,23.2
2028,both,97,17.3
2028,both,98,12.3
2028,both,99,8.3
2028,both,100,14.6
2029,both,40,545.8
2029,both,41,534
2029,both,42,536
2029,both,43,544
2029,both,44,545.6
2029,both,45,542.4
2029,both,46,539.6
2029,both,47,534.7
2029,both,48,536
2029,both,49,525.6
2029,both,50,511.2
2029,both,51,499.9
2029,both,52,495.4
2029,both,53,491.3
2029,both,54,486.7
2029,both,55,472.3
2029,both,56,469
2029,both,57,471.4
2029,both,58,487.7
2029,both,59,481.2
2029,both,60,474.7
2029,both,61,468.2
2029,both,62,469.7
2029,both,63,490.7
2029,both,64,519.2
2029,both,65,530.2
2029,both,66,530
2029,both,67,515.5
2029,both,68,517
2029,both,69,503
2029,both,70,486.8
2029,both,71,475.3
2029,both,72,458.2
2029,both,73,438.6
2029,both,74,426.2
2029,both,75,401.9
2029,both,76,376
2029,both,77,353.8
2029,both,78,338.3
2029,both,79,321.7
2029,both,80,305.4
2029,both,81,293.9
2029,both,82,280.8
2029,both,83,230.8
2029,both,84,203
2029,both,85,185.1
2029,both,86,165.6
2029,both,87,142.3
2029,both,88,124.5
2029,both,89,105.3
2029,both,90,89.7
2029,both,91,74.7
2029,both,92,60.8
2029,both,93,49.9
2029,both,94,39.3
2029,both,95,30.1
2029,both,96,23.4
2029,both,97,17.5
2029,both,98,12.7
2029,both,99,8.8
2029,both,100,15
2030,both,40,564.6
2030,both,41,549
2030,both,42,536.7
2030,both,43,538.4
2030,both,44,545.9
2030,both,45,547.3
2030,both,46,543.7
2030,both,47,541.1
2030,both,48,535.8
2030,both,49,536.4
2030,both,50,525.8
2030,both,51,511
2030,both,52,499.9
2030,both,53,495
2030,both,54,490.6
2030,both,55,486.1
2030,both,56,471.5
2030,both,57,467.9
2030,both,58,470.3
2030,both,59,486.3
2030,both,60,479.6
2030,both,61,473.2
2030,both,62,466.5
2030,both,63,467.8
2030,both,64,488.3
2030,both,65,516.3
2030,both,66,526.9
2030,both,67,526.1
2030,both,68,511.5
2030,both,69,512.4
2030,both,70,498.2
2030,both,71,481.5
2030,both,72,469.7
2030,both,73,452.1
2030,both,74,431.9
2030,both,75,419
2030,both,76,394.2
2030,both,77,367.9
2030,both,78,345.3
2030,both,79,329.1
2030,both,80,312
2030,both,81,294.8
2030,both,82,282.5
2030,both,83,268.2
2030,both,84,219
2030,both,85,191.3
2030,both,86,172.9
2030,both,87,153.1
2030,both,88,130.1
2030,both,89,112.1
2030,both,90,93.2
2030,both,91,78
2030,both,92,63.7
2030,both,93,50.8
2030,both,94,40.7
2030,both,95,31.2
2030,both,96,23.4
2030,both,97,17.7
2030,both,98,12.9
2030,both,99,9.1
2030,both,100,15.6
2031,both,40,567.7
2031,both,41,567.9
2031,both,42,551.7
2031,both,43,539.2
2031,both,44,540.4
2031,both,45,547.7
2031,both,46,548.6
2031,both,47,545.1
2031,both,48,542.1
2031,both,49,536.2
2031,both,50,536.7
2031,both,51,525.6
2031,both,52,511
2031,both,53,499.5
2031,both,54,494.3
2031,both,55,490.1
