year,sex,age,value
2025,both,71,3427379
2025,both,72,3263648
2025,both,73,3119581
2025,both,74,2947712
2025,both,75,2787163
2025,both,76,2684463
2025,both,77,2594173
2025,both,78,2693746
2025,both,79,1879742
2025,both,80,1770816
2025,both,81,1684977
2025,both,82,1658993
2025,both,83,1381541
2025,both,84,1202109
2025,both,85,1063680
2025,both,86,951389
2025,both,87,853513
2025,both,88,728639
2025,both,89,639890
2025,both,90,568440
2025,both,91,461982
2025,both,92,397340
2025,both,93,331969
2025,both,94,272160
2025,both,95,218386
2025,both,96,165976
2025,both,97,127760
2025,both,98,93846
2025,both,99,65550
2025,both,100,106523
2026,both,40,4495947
2026,both,41,4483818
2026,both,42,4382503
2026,both,43,4439467
2026,both,44,4427878
2026,both,45,4361760
2026,both,46,4337895
2026,both,47,4155336
2026,both,48,4054546
2026,both,49,3994512
2026,both,50,3850854
2026,both,51,3885840
2026,both,52,3805329
2026,both,53,3847682
2026,both,54,4025448
2026,both,55,4256095
2026,both,56,4183966
2026,both,57,4020205
2026,both,58,3925293
2026,both,59,3928279
2026,both,60,3972575
2026,both,61,4110975
2026,both,62,4191570
2026,both,63,4176162
2026,both,64,4172913
2026,both,65,4145836
2026,both,66,4053328
2026,both,67,3956905
2026,both,68,3902533
2026,both,69,3810952
2026,both,70,3619061
2026,both,71,3511580
2026,both,72,3362697
2026,both,73,3196132
2026,both,74,3049111
2026,both,75,2874366
2026,both,76,2710936
2026,both,77,2603485
2026,both,78,2507476
2026,both,79,2593392
2026,both,80,1802447
2026,both,81,1689077
2026,both,82,1597653
2026,both,83,1562607
2026,both,84,1292102
2026,both,85,1115616
2026,both,86,979233
2026,both,87,868115
2026,both,88,771229
2026,both,89,651381
2026,both,90,565286
2026,both,91,495817
2026,both,92,397352
2026,both,93,336538
2026,both,94,276566
2026,both,95,222680
2026,both,96,175226
2026,both,97,130440
2026,both,98,98205
2026,both,99,70453
2026,both,100,110819
2027,both,40,4500726
2027,both,41,4495739
2027,both,42,4482564
2027,both,43,4380700
2027,both,44,4436663
2027,both,45,4423804
2027,both,46,4356050
2027,both,47,4329742
2027,both,48,4145650
2027,both,49,4043029
2027,both,50,3981408
2027,both,51,3836994
2027,both,52,3870800
2027,both,53,3789958
2027,both,54,3831208
2027,both,55,4006725
2027,both,56,4234510
2027,both,57,4161125
2027,both,58,3996760
2027,both,59,3900500
2027,both,60,3901227
2027,both,61,3942611
2027,both,62,4076704
2027,both,63,4153170
2027,both,64,4134642
2027,both,65,4128017
2027,both,66,4097541
2027,both,67,4002510
2027,both,68,3903578
2027,both,69,3845735
2027,both,70,3750846
2027,both,71,3557103
2027,both,72,3445690
2027,both,73,3293624
2027,both,74,3124148
2027,both,75,2973922
2027,both,76,2796212
2027,both,77,2629595
2027,both,78,2517106
2027,both,79,2415035
2027,both,80,2486349
2027,both,81,1719810
2027,both,82,1602020
2027,both,83,1505394
2027,both,84,1461782
2027,both,85,1199570
2027,both,86,1027431
2027,both,87,893944
2027,both,88,784804
2027,both,89,689808
2027,both,90,575814
2027,both,91,493298
2027,both,92,426733
2027,both,93,336822
2027,both,94,280589
2027,both,95,226476
2027,both,96,178861
2027,both,97,137828
2027,both,98,100371
2027,both,99,73804
2027,both,100,116676
2028,both,40,4567385
2028,both,41,4501052
2028,both,42,4494922
2028,both,43,4480901
2028,both,44,4378557
2028,both,45,4433019
2028,both,46,4418210
2028,both,47,4348354
2028,both,48,4319426
2028,both,49,4134026
2028,both,50,4029976
2028,both,51,3967245
2028,both,52,3822487
2028,both,53,3855307
2028,both,54,3774159
2028,both,55,3814053
2028,both,56,3987164
2028,both,57,4211689
2028,both,58,4136911
2028,both,59,3971888
2028,both,60,3874077
2028,both,61,3872375
2028,both,62,3910467
2028,both,63,4040029
2028,both,64,4112273
2028,both,65,4090511
2028,both,66,4080524
2028,both,67,4046600
2028,both,68,3948998
2028,both,69,3847177
2028,both,70,3785480
2028,both,71,3686773
